HUD frame time nsec:,16661000

Range Index,Elapsed Time, First Event,Last Event
0,10016,2,2
1,10944,7,7
2,736,62,62
3,8896,70,70
4,704,99,99
5,672,128,128
6,704,157,157
7,736,186,186
8,736,215,215
9,736,244,244
10,704,273,273
11,736,302,302
12,704,331,331
13,736,360,360
14,736,389,389
15,736,418,418
16,704,447,447
17,736,476,476
18,704,505,505
19,672,534,534
20,704,563,563
21,704,592,592
22,704,621,621
23,704,650,650
24,736,679,679
25,704,708,708
26,704,737,737
27,704,766,766
28,704,795,795
29,736,824,824
30,704,853,853
31,672,882,882
32,672,911,911
33,704,940,940
34,704,969,969
35,704,998,998
36,704,1027,1027
37,768,1056,1056
38,800,1085,1085
39,672,1114,1114
40,704,1143,1143
41,704,1172,1172
42,672,1201,1201
43,672,1230,1230
44,704,1259,1259
45,736,1288,1288
46,832,1317,1317
47,704,1346,1346
48,736,1375,1375
49,768,1404,1404
50,832,1433,1433
51,736,1462,1462
52,736,1491,1491
53,800,1520,1520
54,832,1549,1549
55,704,1578,1578
56,704,1607,1607
57,704,1636,1636
58,704,1665,1665
59,704,1694,1694
60,672,1723,1723
61,704,1752,1752
62,704,1781,1781
63,672,1810,1810
64,704,1839,1839
65,736,1868,1868
66,704,1897,1897
67,704,1926,1926
68,35424,1950,1950
69,14062176,1961,1961
