HUD frame time nsec:,16666000

Range Index,Elapsed Time, First Event,Last Event
0,9216,2,2
1,10112,7,7
2,329216,62,62
3,10016,94,94
4,8832,103,103
5,3424,133,133
6,704,162,162
7,704,191,191
8,704,220,220
9,736,249,249
10,672,278,278
11,736,307,307
12,736,336,336
13,704,365,365
14,704,394,394
15,704,423,423
16,736,452,452
17,704,481,481
18,704,510,510
19,704,539,539
20,736,568,568
21,768,597,597
22,736,626,626
23,704,655,655
24,704,684,684
25,704,713,713
26,704,742,742
27,704,771,771
28,672,800,800
29,704,829,829
30,704,858,858
31,704,887,887
32,704,916,916
33,704,945,945
34,704,974,974
35,1376,1003,1003
36,2016,1032,1032
37,672,1061,1061
38,704,1090,1090
39,704,1119,1119
40,704,1148,1148
41,928,1177,1177
42,1408,1206,1206
43,2048,1235,1235
44,2304,1264,1264
45,704,1293,1293
46,672,1322,1322
47,992,1351,1351
48,1248,1380,1380
49,1600,1409,1409
50,1664,1438,1438
51,2144,1467,1467
52,3040,1496,1496
53,1184,1525,1525
54,736,1554,1554
55,992,1583,1583
56,1088,1612,1612
57,1600,1641,1641
58,2144,1670,1670
59,2752,1699,1699
60,3392,1728,1728
61,864,1757,1757
62,1376,1786,1786
63,1664,1815,1815
64,1920,1844,1844
65,2208,1873,1873
66,2656,1902,1902
67,3008,1931,1931
68,4064,1960,1960
69,27680,1986,1986
70,260128,2010,2010
71,259200,2031,2031
72,259680,2052,2052
73,257952,2073,2073
74,259776,2094,2094
75,263392,2115,2115
76,262464,2136,2136
77,260128,2157,2157
78,256992,2178,2178
79,260064,2199,2199
80,257728,2220,2220
81,259104,2241,2241
82,257152,2262,2262
83,261632,2283,2283
84,258624,2304,2304
85,262848,2325,2325
86,256096,2346,2346
87,261472,2367,2367
88,260544,2388,2388
89,262816,2409,2409
90,3776,2415,2415
91,29408,2439,2439
92,704,2473,2473
93,17344,2499,2499
94,7406656,2509,2509
