HUD frame time nsec:,16673000

Range Index,Elapsed Time, First Event,Last Event
0,8704,1,1
1,11136,6,6
2,193312,72,72
3,704,117,117
4,704,162,162
5,704,207,207
6,704,251,251
7,186656,318,318
8,704,363,363
9,704,408,408
10,736,453,453
11,704,497,497
12,704,541,541
13,168768,608,608
14,704,653,653
15,704,698,698
16,704,743,743
17,704,787,787
18,173504,854,854
19,992,899,899
20,832,944,944
21,704,989,989
22,800,1033,1033
23,203808,1100,1100
24,704,1145,1145
25,704,1190,1190
26,768,1235,1235
27,736,1279,1279
28,9184,1283,1283
29,163008,1349,1349
30,704,1394,1394
31,704,1439,1439
32,704,1484,1484
33,1024,1528,1528
34,186464,1595,1595
35,704,1640,1640
36,736,1685,1685
37,704,1730,1730
38,672,1774,1774
39,704,1818,1818
40,164672,1885,1885
41,736,1930,1930
42,832,1975,1975
43,736,2020,2020
44,864,2064,2064
45,166592,2131,2131
46,704,2176,2176
47,704,2221,2221
48,704,2266,2266
49,704,2310,2310
50,192896,2377,2377
51,704,2422,2422
52,704,2467,2467
53,1024,2512,2512
54,832,2556,2556
55,223968,2626,2626
56,704,2671,2671
57,704,2716,2716
58,704,2761,2761
59,704,2805,2805
60,179072,2872,2872
61,704,2917,2917
62,704,2962,2962
63,704,3007,3007
64,704,3051,3051
65,54496,3095,3095
66,125888,3162,3162
67,736,3207,3207
68,704,3252,3252
69,704,3297,3297
70,704,3341,3341
71,169984,3408,3408
72,704,3453,3453
73,704,3498,3498
74,736,3543,3543
75,992,3587,3587
76,248544,3654,3654
77,704,3699,3699
78,704,3744,3744
79,736,3789,3789
80,704,3833,3833
81,736,3852,3852
82,704,3870,3870
83,960,3888,3888
84,800,3906,3906
85,832,3924,3924
86,704,3942,3942
87,800,3960,3960
88,736,3978,3978
89,704,3996,3996
90,704,4014,4014
91,11687328,4026,4026
